item_id,category,verdict
pilot-0122,missing_interaction_semantics,
pilot-0123,missing_interaction_semantics,
pilot-0124,missing_interaction_semantics,
pilot-0125,missing_interaction_semantics,
pilot-0126,missing_interaction_semantics,
pilot-0127,missing_interaction_semantics,
pilot-0128,missing_interaction_semantics,
pilot-0129,missing_interaction_semantics,
pilot-0130,missing_interaction_semantics,
pilot-0131,missing_interaction_semantics,
pilot-0132,missing_interaction_semantics,
pilot-0133,missing_interaction_semantics,
pilot-0134,missing_interaction_semantics,
pilot-0135,missing_interaction_semantics,
pilot-0136,missing_interaction_semantics,
pilot-0137,missing_interaction_semantics,
pilot-0138,missing_interaction_semantics,
pilot-0139,missing_interaction_semantics,
pilot-0140,missing_interaction_semantics,
pilot-0141,missing_merge_descendants,
pilot-0142,missing_merge_descendants,
pilot-0143,missing_merge_descendants,
pilot-0144,missing_merge_descendants,
pilot-0145,missing_merge_descendants,
pilot-0146,missing_merge_descendants,
pilot-0147,missing_merge_descendants,
pilot-0148,missing_merge_descendants,
pilot-0149,missing_merge_descendants,
pilot-0150,missing_merge_descendants,
pilot-0151,missing_merge_descendants,
pilot-0152,missing_merge_descendants,
pilot-0153,missing_merge_descendants,
pilot-0154,missing_merge_descendants,
pilot-0155,missing_merge_descendants,
pilot-0156,missing_merge_descendants,
pilot-0157,missing_merge_descendants,
pilot-0158,missing_merge_descendants,
pilot-0159,missing_merge_descendants,
pilot-0160,missing_merge_descendants,
pilot-0161,missing_semantics_role,
pilot-0162,missing_semantics_role,
pilot-0163,missing_semantics_role,
pilot-0164,missing_semantics_role,
pilot-0165,missing_semantics_role,
pilot-0166,missing_semantics_role,
pilot-0167,missing_semantics_role,
pilot-0168,missing_semantics_role,
pilot-0169,missing_semantics_role,
pilot-0170,missing_semantics_role,
pilot-0171,missing_semantics_role,
pilot-0172,missing_semantics_role,
pilot-0173,missing_semantics_role,
pilot-0174,missing_semantics_role,
pilot-0175,missing_semantics_role,
pilot-0176,missing_semantics_role,
pilot-0177,missing_semantics_role,
pilot-0178,missing_semantics_role,
pilot-0179,missing_semantics_role,
pilot-0180,missing_semantics_role,
pilot-0181,missing_state_description,
pilot-0182,missing_state_description,
pilot-0183,missing_state_description,
pilot-0184,missing_state_description,
pilot-0185,missing_state_description,
pilot-0186,missing_state_description,
pilot-0187,missing_state_description,
pilot-0188,missing_state_description,
pilot-0189,missing_state_description,
pilot-0190,missing_state_description,
pilot-0191,missing_state_description,
pilot-0192,missing_state_description,
pilot-0193,missing_state_description,
pilot-0194,missing_state_description,
pilot-0195,missing_state_description,
pilot-0196,missing_state_description,
pilot-0197,missing_state_description,
pilot-0198,missing_state_description,
pilot-0199,missing_state_description,
pilot-0200,missing_state_description,
pilot-0201,pointerinput_no_semantics,
pilot-0202,pointerinput_no_semantics,
pilot-0203,pointerinput_no_semantics,
pilot-0204,pointerinput_no_semantics,
pilot-0205,pointerinput_no_semantics,
pilot-0206,pointerinput_no_semantics,
pilot-0207,pointerinput_no_semantics,
pilot-0208,pointerinput_no_semantics,
pilot-0209,pointerinput_no_semantics,
pilot-0210,pointerinput_no_semantics,
pilot-0211,pointerinput_no_semantics,
pilot-0212,pointerinput_no_semantics,
pilot-0213,pointerinput_no_semantics,
pilot-0214,pointerinput_no_semantics,
pilot-0215,pointerinput_no_semantics,
pilot-0216,pointerinput_no_semantics,
pilot-0217,pointerinput_no_semantics,
pilot-0218,pointerinput_no_semantics,
pilot-0219,pointerinput_no_semantics,
pilot-0220,pointerinput_no_semantics,
pilot-0221,progress_no_semantics,
pilot-0222,progress_no_semantics,
pilot-0223,progress_no_semantics,
pilot-0224,progress_no_semantics,
pilot-0225,progress_no_semantics,
pilot-0226,progress_no_semantics,
pilot-0227,progress_no_semantics,
pilot-0228,progress_no_semantics,
pilot-0229,progress_no_semantics,
pilot-0230,progress_no_semantics,
pilot-0231,progress_no_semantics,
pilot-0232,progress_no_semantics,
pilot-0233,progress_no_semantics,
pilot-0234,progress_no_semantics,
pilot-0235,progress_no_semantics,
pilot-0236,progress_no_semantics,
pilot-0237,progress_no_semantics,
pilot-0238,progress_no_semantics,
pilot-0239,progress_no_semantics,
pilot-0240,progress_no_semantics,
pilot-0241,text_truncation_scaling,
pilot-0242,text_truncation_scaling,
pilot-0243,text_truncation_scaling,
pilot-0244,text_truncation_scaling,
pilot-0245,text_truncation_scaling,
pilot-0246,text_truncation_scaling,
pilot-0247,text_truncation_scaling,
pilot-0248,text_truncation_scaling,
pilot-0249,text_truncation_scaling,
pilot-0250,text_truncation_scaling,
pilot-0251,text_truncation_scaling,
pilot-0252,text_truncation_scaling,
pilot-0253,text_truncation_scaling,
pilot-0254,text_truncation_scaling,
pilot-0255,text_truncation_scaling,
pilot-0256,text_truncation_scaling,
pilot-0257,text_truncation_scaling,
pilot-0258,text_truncation_scaling,
pilot-0259,text_truncation_scaling,
pilot-0260,text_truncation_scaling,
pilot-0261,textfield_no_label,
pilot-0262,textfield_no_label,
pilot-0263,textfield_no_label,
pilot-0264,textfield_no_label,
pilot-0265,textfield_no_label,
pilot-0266,textfield_no_label,
pilot-0267,textfield_no_label,
pilot-0268,textfield_no_label,
pilot-0269,textfield_no_label,
pilot-0270,textfield_no_label,
pilot-0271,textfield_no_label,
pilot-0272,textfield_no_label,
pilot-0273,textfield_no_label,
pilot-0274,textfield_no_label,
pilot-0275,textfield_no_label,
pilot-0276,textfield_no_label,
pilot-0277,textfield_no_label,
pilot-0278,textfield_no_label,
pilot-0279,textfield_no_label,
pilot-0280,textfield_no_label,
pilot-0281,touch_target_size,
pilot-0282,touch_target_size,
pilot-0283,touch_target_size,
pilot-0284,touch_target_size,
pilot-0285,touch_target_size,
pilot-0286,touch_target_size,
pilot-0287,touch_target_size,
pilot-0288,touch_target_size,
pilot-0289,touch_target_size,
pilot-0290,touch_target_size,
pilot-0291,touch_target_size,
pilot-0292,touch_target_size,
pilot-0293,touch_target_size,
pilot-0294,touch_target_size,
pilot-0295,touch_target_size,
pilot-0296,touch_target_size,
pilot-0297,touch_target_size,
pilot-0298,touch_target_size,
pilot-0299,touch_target_size,
pilot-0300,touch_target_size,
