rater_row_id,item_id,category,repo,file,decl_name,anchor_line
r0020,pilot-0166,missing_semantics_role,FreezeYou__FreezeYou,FreezeYou__FreezeYou/app/src/main/java/cf/playhi/freezeyou/ui/AboutActivity.kt,AboutScreen,67.0
r0021,pilot-0079,error_state_no_semantics,chmouel__liseur,chmouel__liseur/app/src/main/kotlin/com/chmouel/liseur/ui/settings/ReadingNavigationScreen.kt,DictionarySiteRow,379.0
r0022,pilot-0114,missing_heading_semantics,XiaochangXu__HeartRateMonitor-composeui,XiaochangXu__HeartRateMonitor-composeui/android/feature/main/src/main/java/com/github/heartratemonitor_compose/ui/main/DevicesScreen.kt,DevicesScreen,117.0
r0023,pilot-0250,text_truncation_scaling,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/backup/CloudBackupDashboardScreen.kt,HealthBarLegend,556.0
r0024,pilot-0251,text_truncation_scaling,chvp__NanoLedger,chvp__NanoLedger/app/src/main/java/be/chvp/nanoledger/ui/common/TransactionFormComponents.kt,CodeField,393.0
r0025,pilot-0105,missing_heading_semantics,zhishengplus__ZhishengWeather,zhishengplus__ZhishengWeather/app/src/main/kotlin/com/zhisheng/weather/ui/home/HomeScreen.kt,StatusLine,1157.0
r0026,pilot-0043,decorative_mislabeled,UmairKhalid786__ComposeTv,UmairKhalid786__ComposeTv/app/src/main/java/com/techlads/composetv/features/details/ProductDetailsScreen.kt,ProductDetailsScreen,111.0
r0027,pilot-0282,touch_target_size,christianrowlands__android-network-survey,christianrowlands__android-network-survey/networksurvey/src/main/java/com/craxiom/networksurvey/ui/cellular/TowerMapScreen.kt,ZoomControls,1460.0
r0028,pilot-0296,touch_target_size,Dking08__croc-app,Dking08__croc-app/app/src/main/java/com/dking/crocapp/ui/history/HistoryScreen.kt,CompactHistoryCard,323.0
r0029,pilot-0158,missing_merge_descendants,iOrchid__android-jetpack-demo,iOrchid__android-jetpack-demo/compose/src/main/java/org/zhiwei/compose/screen/basic/material3/ButtonScreen.kt,Button_Screen,81.0
r0030,pilot-0239,progress_no_semantics,Chesire__Nekome,Chesire__Nekome/features/search/src/main/java/com/chesire/nekome/app/search/search/ui/SearchScreen.kt,Render,121.0
r0031,pilot-0018,clickable_icon_not_iconbutton,Waboodoo__HTTP-Shortcuts,Waboodoo__HTTP-Shortcuts/HTTPShortcuts/app/src/main/kotlin/ch/rmy/android/http_shortcuts/activities/documentation/DocumentationScreen.kt,SearchBar,200.0
r0032,pilot-0165,missing_semantics_role,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/people/PeopleListScreen.kt,PersonGridItem,254.0
r0033,pilot-0034,color_contrast,crome1394__point-forecast,crome1394__point-forecast/forecast-point/app/src/main/java/com/crome/forecastpoint/ui/screens/SunMoonScreen.kt,AltitudeChart,515.0
r0034,pilot-0025,color_contrast,iOrchid__android-jetpack-demo,iOrchid__android-jetpack-demo/compose/src/main/java/org/zhiwei/compose/screen/basic/material3/ButtonScreen.kt,Button_Screen,205.0
r0035,pilot-0216,pointerinput_no_semantics,crome1394__point-forecast,crome1394__point-forecast/forecast-point/app/src/main/java/com/crome/forecastpoint/ui/screens/SettingsScreen.kt,HourlyTabConfigEditor,768.0
r0036,pilot-0120,missing_heading_semantics,michaelbel__movies,michaelbel__movies/feature-web/details/src/commonMain/kotlin/org/michaelbel/movies/detailsweb/DetailsWebScreen.kt,DetailsContent,224.0
r0037,pilot-0008,clickable_icon_not_iconbutton,norsehorse-dev__BurnPonyAndroid,norsehorse-dev__BurnPonyAndroid/app/src/main/kotlin/com/burnpony/app/ui/compose/ComposeScreen.kt,OptionBadge,317.0
r0038,pilot-0091,missing_content_description,MohamadOday__iris-gallery,MohamadOday__iris-gallery/app/src/main/java/com/iris/gallery/ui/AboutScreen.kt,AboutLinkRow,319.0
r0039,pilot-0047,decorative_mislabeled,gininaba__AIPOSPasswordManager,gininaba__AIPOSPasswordManager/app/src/main/java/com/aipos/aipospm/ui/screens/PasswordGeneratorScreen.kt,PasswordGeneratorScreen,106.0
r0040,pilot-0074,error_state_no_semantics,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/screen/AliasScreen.kt,AliasEditorSheet,688.0
r0041,pilot-0094,missing_content_description,elgrande73__FOSS-snore-detector-android-app,elgrande73__FOSS-snore-detector-android-app/app/src/main/java/com/aistudio/snoredetector/afkwd/MainActivity.kt,SettingsTab,2828.0
r0042,pilot-0077,error_state_no_semantics,wisnukurniawan__Compose-Expense,wisnukurniawan__Compose-Expense/app/src/main/java/com/wisnu/kurniawan/wallee/features/account/detail/ui/AccountDetailScreen.kt,AccountDetailScreen,159.0
r0043,pilot-0287,touch_target_size,BlazeCodeDev__TSViewer,BlazeCodeDev__TSViewer/wear/src/main/java/com/blazecode/tsviewer/wear/screens/ClientList.kt,ClientList,78.0
r0044,pilot-0061,error_state_no_semantics,CliffracerMerchant__SoundAura,CliffracerMerchant__SoundAura/app/src/main/java/com/cliffracertech/soundaura/addbutton/AddButtonDialog.kt,NamingTextField,115.0
r0045,pilot-0078,error_state_no_semantics,christianrowlands__android-network-survey,christianrowlands__android-network-survey/networksurvey/src/main/java/com/craxiom/networksurvey/ui/cellular/CalculatorScreen.kt,NciInputField,196.0
r0046,pilot-0064,error_state_no_semantics,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/onboarding/OnboardingScreen.kt,CreateAliasStep,828.0
r0047,pilot-0235,progress_no_semantics,miaowmiaow__fragmject,miaowmiaow__fragmject/core/ui/src/main/java/com/example/fragmject/core/ui/components/LoadingContent.kt,LoadingContent,27.0
r0048,pilot-0230,progress_no_semantics,RisorseArtificiali__anti-vocale,RisorseArtificiali__anti-vocale/app/src/main/java/com/antivocale/app/ui/components/ModelVariantCard.kt,DownloadProgressView,365.0
r0049,pilot-0112,missing_heading_semantics,Pool-Of-Tears__Myne,Pool-Of-Tears__Myne/app/src/main/java/com/starry/myne/ui/screens/library/composables/LibraryScreen.kt,LibraryCard,526.0
r0050,pilot-0232,progress_no_semantics,MoatazBadawy__Mawaqeet-Todo_and_Habits,MoatazBadawy__Mawaqeet-Todo_and_Habits/todos/ui/view/src/main/java/com/moataz/todos/ui/view/component/Loading.kt,Loading,14.0
r0051,pilot-0181,missing_state_description,chmouel__noise-timer,chmouel__noise-timer/app/src/main/kotlin/com/chmouel/noisetimer/MainActivity.kt,NoiseTimerScreen,312.0
r0052,pilot-0145,missing_merge_descendants,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/onboarding/OnboardingScreen.kt,EnginePickStep,295.0
r0053,pilot-0240,progress_no_semantics,jordond__MaterialKolor,jordond__MaterialKolor/builder/shared/src/commonMain/kotlin/com/materialkolor/builder/ui/home/components/ExportDialog.kt,ExportDialog,42.0
r0054,pilot-0076,error_state_no_semantics,AmrDeveloper__LinkHub,AmrDeveloper__LinkHub/app/src/main/java/com/amrdeveloper/linkhub/ui/link/LinkScreen.kt,LinkInputField,311.0
r0055,pilot-0298,touch_target_size,GetStream__stream-draw-android,GetStream__stream-draw-android/app/src/main/kotlin/io/getstream/streamdraw/ui/components/SketchbookControlMenu.kt,SketchbookControlMenu,73.0
r0056,pilot-0279,textfield_no_label,corphish__TextTools,corphish__TextTools/app/src/main/java/com/corphish/quicktools/activities/NumberAnalysisActivity.kt,InputSection,390.0
r0057,pilot-0098,missing_content_description,Dking08__croc-app,Dking08__croc-app/app/src/main/java/com/dking/crocapp/ui/components/TransferProgressCard.kt,TransferHeader,307.0
r0058,pilot-0093,missing_content_description,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/backup/CloudBackupScreen.kt,CloudBackupScreen,89.0
r0059,pilot-0193,missing_state_description,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/settings/SettingsScreen.kt,SettingsScreen,489.0
r0060,pilot-0026,color_contrast,hosizoraru__KeiOS,hosizoraru__KeiOS/app/src/main/java/os/kei/ui/page/main/widget/core/AppOverviewCards.kt,AppOverviewMetricTile,132.0
r0061,pilot-0233,progress_no_semantics,AhmadHassan-BTed__Parchment,AhmadHassan-BTed__Parchment/app/src/main/java/ted/parchment/reader/ui/components/PdfThumbnail.kt,PdfThumbnail,99.0
r0062,pilot-0060,decorative_mislabeled,AmrDeveloper__LinkHub,AmrDeveloper__LinkHub/app/src/main/java/com/amrdeveloper/linkhub/ui/explorer/ExplorerScreen.kt,FolderHeader,114.0
r0063,pilot-0007,clickable_icon_not_iconbutton,zhishengplus__ZhishengWeather,zhishengplus__ZhishengWeather/app/src/main/kotlin/com/zhisheng/weather/ui/RadarScreen.kt,RadarIconAction,676.0
r0064,pilot-0186,missing_state_description,norsehorse-dev__BurnPonyAndroid,norsehorse-dev__BurnPonyAndroid/app/src/main/kotlin/com/burnpony/app/ui/compose/ComposeScreen.kt,ToggleRow,520.0
r0065,pilot-0174,missing_semantics_role,OMGSoundboard__android-app,OMGSoundboard__android-app/app/src/main/java/audio/omgsoundboard/presentation/composables/AboutItem.kt,AboutItem,20.0
r0066,pilot-0031,color_contrast,nemoXdev__CryptoSafe,nemoXdev__CryptoSafe/app/src/main/java/com/cryptosafe/app/screens/CreateBoxScreen.kt,CreateBoxScreen,98.0
r0067,pilot-0023,color_contrast,hosizoraru__KeiOS,hosizoraru__KeiOS/app/src/main/java/os/kei/ui/page/main/widget/core/AppOverviewCards.kt,AppOverviewInlineMetricTile,241.0
r0068,pilot-0257,text_truncation_scaling,AnySoftKeyboard__janus,AnySoftKeyboard__janus/app/src/main/java/com/anysoftkeyboard/janus/app/ui/states/TranslationView.kt,TranslationView,112.0
r0069,pilot-0057,decorative_mislabeled,AnySoftKeyboard__janus,AnySoftKeyboard__janus/app/src/main/java/com/anysoftkeyboard/janus/app/ui/states/TranslationView.kt,TranslationContent,130.0
r0070,pilot-0187,missing_state_description,norsehorse-dev__AgePonyAndroid,norsehorse-dev__AgePonyAndroid/app/src/main/java/com/agepony/app/ui/identities/IdentitiesScreen.kt,GenerateSecurityKey,570.0
r0071,pilot-0109,missing_heading_semantics,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/onboarding/OnboardingScreen.kt,InstallingStep,594.0
r0072,pilot-0127,missing_interaction_semantics,Darkrock-Studios__FastTrack,Darkrock-Studios__FastTrack/app/src/main/java/com/darkrockstudios/apps/fasttrack/screens/log/LogCalendarContent.kt,DayCell,237.0
r0073,pilot-0231,progress_no_semantics,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/components/TodosianComponents.kt,TodosianLinearProgress,56.0
r0074,pilot-0194,missing_state_description,Nyabsi__VRCAA,Nyabsi__VRCAA/app/src/main/java/cc/sovellus/vrcaa/ui/components/dialog/FavoriteDialog.kt,FavoriteDialog,130.0
r0075,pilot-0130,missing_interaction_semantics,jordond__MaterialKolor,jordond__MaterialKolor/builder/shared/src/commonMain/kotlin/com/materialkolor/builder/ui/home/components/ContrastSelector.kt,ContrastButton,85.0
r0076,pilot-0283,touch_target_size,dmzz-yyhyy__LightNovelReader,dmzz-yyhyy__LightNovelReader/app/src/main/kotlin/indi/dmzz_yyhyy/lightnovelreader/ui/components/Dialog.kt,ColorPickerDialog,749.0
r0077,pilot-0083,missing_content_description,gininaba__AIPOSPasswordManager,gininaba__AIPOSPasswordManager/app/src/main/java/com/aipos/aipospm/ui/screens/AddEditPasswordScreen.kt,AddEditPasswordScreen,227.0
r0078,pilot-0085,missing_content_description,fflopsi__mensa-zh,fflopsi__mensa-zh/app/src/main/java/ch/florianfrauenfelder/mensazh/ui/main/detail/MenuRow.kt,MenuRow,167.0
r0079,pilot-0067,error_state_no_semantics,xavier-tobin__BundledUI-Android,xavier-tobin__BundledUI-Android/src/main/java/com/xaviertobin/bundledui/section/widgets/SectionTextInput.kt,SectionPasswordInput,168.0
r0080,pilot-0289,touch_target_size,GetStream__whatsApp-clone-compose,GetStream__whatsApp-clone-compose/features/chats/src/main/kotlin/io/getstream/whatsappclone/chats/messages/WhatsAppMessageTopBar.kt,WhatsAppMessageTopBar,55.0
r0081,pilot-0164,missing_semantics_role,EventFahrplan__EventFahrplan,EventFahrplan__EventFahrplan/app/src/main/java/nerd/tuxmobil/fahrplan/congress/settings/widgets/EngelsystemShiftsUrlPreference.kt,EngelsystemShiftsUrlPreference,29.0
r0082,pilot-0155,missing_merge_descendants,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/screen/AdvancedSettingsScreen.kt,BenchmarkSection,212.0
r0083,pilot-0020,clickable_icon_not_iconbutton,GetStream__whatsApp-clone-compose,GetStream__whatsApp-clone-compose/features/chats/src/main/kotlin/io/getstream/whatsappclone/chats/messages/WhatsAppMessageTopBar.kt,WhatsAppMessageTopBar,56.0
r0084,pilot-0125,missing_interaction_semantics,CarGuo__GSYGithubAppCompose,CarGuo__GSYGithubAppCompose/core/ui/src/main/java/com/shuyu/gsygithubappcompose/core/ui/components/RepositoryItem.kt,RepositoryItem,63.0
r0085,pilot-0080,error_state_no_semantics,Darkrock-Studios__FastTrack,Darkrock-Studios__FastTrack/app/src/main/java/com/darkrockstudios/apps/fasttrack/screens/profile/ProfileScreen.kt,ProfileDataEntryCard,235.0
r0086,pilot-0115,missing_heading_semantics,jordond__MaterialKolor,jordond__MaterialKolor/builder/shared/src/commonMain/kotlin/com/materialkolor/builder/ui/home/preview/device/components/content/PhoneHomeScreen.kt,ListItem,224.0
r0087,pilot-0119,missing_heading_semantics,zhishengplus__ZhishengWeather,zhishengplus__ZhishengWeather/app/src/main/kotlin/com/zhisheng/weather/ui/AppUpdateDialog.kt,AppUpdateDialog,134.0
r0088,pilot-0073,error_state_no_semantics,norsehorse-dev__AgePonyAndroid,norsehorse-dev__AgePonyAndroid/app/src/main/java/com/agepony/app/ui/VaultGate.kt,CreateSecretDialog,398.0
r0089,pilot-0016,clickable_icon_not_iconbutton,akexorcist__ruam-mij-android,akexorcist__ruam-mij-android/feature/overview/src/main/kotlin/com/akexorcist/ruammij/feature/overview/OverviewScreen.kt,UnverifiedInstalledAppItem,363.0
r0090,pilot-0011,clickable_icon_not_iconbutton,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/CloudAddServerScreen.kt,SelectableRow,823.0
r0091,pilot-0195,missing_state_description,gininaba__AIPOSPasswordManager,gininaba__AIPOSPasswordManager/app/src/main/java/com/aipos/aipospm/ui/screens/PasswordGeneratorScreen.kt,ToggleRow,379.0
r0092,pilot-0102,missing_heading_semantics,Angel-Studio__SoundTap,Angel-Studio__SoundTap/app/src/main/java/fr/angel/soundtap/ui/OnboardingScreen.kt,OnboardingScreen,340.0
r0093,pilot-0069,error_state_no_semantics,maximilian-schwaerzler__Do-It,maximilian-schwaerzler__Do-It/app/src/main/java/at/co/schwaerzler/maximilian/doit/ui/navigation/screen/EditTodoScreen.kt,EditTodoScreenContent,367.0
r0094,pilot-0225,progress_no_semantics,iOrchid__android-jetpack-demo,iOrchid__android-jetpack-demo/compose/src/main/java/org/zhiwei/compose/screen/basic/material3/WidgetScreen.kt,UI_ProgressIndicator,159.0
r0095,pilot-0038,color_contrast,kursatkumsuz__crypto-portfolio-jetpack-compose,kursatkumsuz__crypto-portfolio-jetpack-compose/feature/portfolio/src/main/java/com/kursatkumsuz/portfolio/PortfolioScreen.kt,CurrentBalanceCard,103.0
r0096,pilot-0017,clickable_icon_not_iconbutton,Angel-Studio__SoundTap,Angel-Studio__SoundTap/app/src/main/java/fr/angel/soundtap/ui/components/MediaCards.kt,PlaybackCard,393.0
r0097,pilot-0180,missing_semantics_role,Hamza417__Peristyle,Hamza417__Peristyle/app/src/main/java/app/simple/peri/ui/commons/MenuItemWithCheckbox.kt,MenuItemWithCheckbox,43.0
r0098,pilot-0148,missing_merge_descendants,crome1394__point-forecast,crome1394__point-forecast/forecast-point/app/src/main/java/com/crome/forecastpoint/ui/screens/SevereWeatherSummaryScreen.kt,TropicalReportRow,613.0
r0099,pilot-0275,textfield_no_label,cvc953__localplayer,cvc953__localplayer/app/src/main/java/com/cvc953/localplayer/ui/components/MultiSongSelectionBar.kt,MultiSongSelectionBar,215.0
r0100,pilot-0068,error_state_no_semantics,android__nowinandroid,android__nowinandroid/core/designsystem/src/main/kotlin/com/google/samples/apps/nowinandroid/core/designsystem/component/DynamicAsyncImage.kt,DynamicAsyncImage,57.0
r0101,pilot-0229,progress_no_semantics,reactivedroid__TvFlix,reactivedroid__TvFlix/app/src/main/java/com/android/tvflix/main/MainActivity.kt,CenterLoader,531.0
r0102,pilot-0070,error_state_no_semantics,wisnukurniawan__Compose-Expense,wisnukurniawan__Compose-Expense/app/src/main/java/com/wisnu/kurniawan/wallee/features/login/ui/LoginScreen.kt,LoginScreen,90.0
r0103,pilot-0032,color_contrast,Abhay-cloud__Fixed-Deposit-Tracker,Abhay-cloud__Fixed-Deposit-Tracker/app/src/main/java/dev/abhaycloud/fdtracker/presentation/ui/components/FixedDepositItem.kt,FixedDepositItem,88.0
r0104,pilot-0184,missing_state_description,iOrchid__android-jetpack-demo,iOrchid__android-jetpack-demo/compose/src/main/java/org/zhiwei/compose/screen/basic/material3/WidgetScreen.kt,UI_Radio,343.0
r0105,pilot-0266,textfield_no_label,beradeep__aiyo,beradeep__aiyo/ui/src/main/java/com/beradeep/aiyo/ui/screens/chat/components/RenameConversationDialog.kt,RenameConversationDialog,45.0
r0106,pilot-0226,progress_no_semantics,cvc953__localplayer,cvc953__localplayer/app/src/main/java/com/cvc953/localplayer/ui/screens/ArtistsScreen.kt,ArtistsScreen,178.0
r0107,pilot-0141,missing_merge_descendants,christianrowlands__android-network-survey,christianrowlands__android-network-survey/networksurvey/src/main/java/com/craxiom/networksurvey/ui/nsanalytics/NsAnalyticsConnectionScreen.kt,WorkspaceStatusCard,824.0
r0108,pilot-0019,clickable_icon_not_iconbutton,Pool-Of-Tears__Myne,Pool-Of-Tears__Myne/app/src/main/java/com/starry/myne/ui/screens/settings/composables/AboutScreen.kt,LinkButton,199.0
r0109,pilot-0182,missing_state_description,demosten-com__SrednaBG,demosten-com__SrednaBG/android/app/src/main/kotlin/com/demosten/srednabg/app/ui/screens/SettingsScreen.kt,SettingsScreen,136.0
r0110,pilot-0097,missing_content_description,zodl-inc__zodl-android,zodl-inc__zodl-android/feature-voting/src/main/java/co/electriccoin/zcash/ui/screen/voting/proposaldetail/VoteProposalDetailView.kt,ForumLinkRow,179.0
r0111,pilot-0133,missing_interaction_semantics,Pool-Of-Tears__Myne,Pool-Of-Tears__Myne/app/src/main/java/com/starry/myne/ui/screens/settings/composables/AboutScreen.kt,LinkButton,199.0
r0112,pilot-0263,textfield_no_label,norsehorse-dev__BurnPonyAndroid,norsehorse-dev__BurnPonyAndroid/app/src/main/kotlin/com/burnpony/app/ui/settings/SettingsScreen.kt,SettingsScreen,160.0
r0113,pilot-0087,missing_content_description,Pool-Of-Tears__Myne,Pool-Of-Tears__Myne/app/src/main/java/com/starry/myne/ui/screens/settings/composables/SettingsItems.kt,SettingItem,98.0
r0114,pilot-0249,text_truncation_scaling,Darkrock-Studios__hammer-editor,Darkrock-Studios__hammer-editor/composeUi/src/commonMain/kotlin/com/darkrockstudios/apps/hammer/common/storyeditor/OutlineOverviewUi.kt,ChapterDropdown,471.0
r0115,pilot-0246,text_truncation_scaling,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/category/CategoryScreen.kt,CategoryScreen,434.0
r0116,pilot-0117,missing_heading_semantics,wisnukurniawan__Compose-ToDo,wisnukurniawan__Compose-ToDo/app/src/main/java/com/wisnu/kurniawan/composetodolist/features/todo/step/ui/StepScreenExp.kt,TaskCell,111.0
r0117,pilot-0147,missing_merge_descendants,GetStream__whatsApp-clone-compose,GetStream__whatsApp-clone-compose/features/calls/src/main/kotlin/io/getstream/whatsappclone/calls/WhatsAppCallHistory.kt,WhatsAppCallHistory,66.0
r0118,pilot-0293,touch_target_size,GetStream__liveshopping-android,GetStream__liveshopping-android/app/src/main/kotlin/io/getstream/live/shopping/ui/feature/channels/LiveShoppingChannels.kt,LiveShoppingChannels,94.0
r0119,pilot-0198,missing_state_description,dononcharles__NiceToast,dononcharles__NiceToast/app/src/main/java/com/dononcharles/nicetoastapp/MainActivity.kt,MainScreen,383.0
r0120,pilot-0207,pointerinput_no_semantics,modelorona__TapLock,modelorona__TapLock/app/src/main/java/com/ah/taplock/SettingsComponents.kt,DoubleTapTestArea,208.0
r0121,pilot-0056,decorative_mislabeled,CraftWorksMC__Chora,CraftWorksMC__Chora/app/src/main/java/com/craftworks/music/ui/screens/AlbumDetailsScreen.kt,AlbumDetails,182.0
r0122,pilot-0173,missing_semantics_role,uditbhaskar__Whizzz-The-ChatApp,uditbhaskar__Whizzz-The-ChatApp/core/ui/src/main/kotlin/com/example/whizzz/core/ui/WhizzzProfileGroupedFields.kt,WhizzzProfileDetailRow,76.0
r0123,pilot-0185,missing_state_description,hwki__SimpleBitcoinWidget,hwki__SimpleBitcoinWidget/bitcoin/src/main/java/com/brentpanther/bitcoinwidget/ui/settings/SettingsComponents.kt,RadioDialogItem,385.0
r0124,pilot-0168,missing_semantics_role,Nevodev__Cresto,Nevodev__Cresto/app/src/main/java/com/nevoit/cresto/ui/components/glasense/GlasenseDialog.kt,GlasenseDialogButton,202.0
r0125,pilot-0140,missing_interaction_semantics,wisnukurniawan__Compose-ToDo,wisnukurniawan__Compose-ToDo/app/src/main/java/com/wisnu/kurniawan/composetodolist/features/todo/detail/ui/TaskScreen.kt,TaskCreator,73.0
r0126,pilot-0254,text_truncation_scaling,gininaba__AIPOSPasswordManager,gininaba__AIPOSPasswordManager/app/src/main/java/com/aipos/aipospm/ui/screens/ApiKeyListScreen.kt,ApiKeyCard,434.0
r0127,pilot-0039,color_contrast,GetStream__meeting-room-compose,GetStream__meeting-room-compose/app/src/main/kotlin/io/getstream/meeting/room/compose/ui/component/StreamButton.kt,StreamButton,45.0
r0128,pilot-0126,missing_interaction_semantics,chmouel__liseur,chmouel__liseur/app/src/main/kotlin/com/chmouel/liseur/reader/chrome/ContentsScreen.kt,AnnotationRow,420.0
r0129,pilot-0196,missing_state_description,alorma__Compose-Settings,alorma__Compose-Settings/samples/shared/src/commonMain/kotlin/com/alorma/compose/settings/sample/shared/SettingsScreenExpressive.kt,SettingsCheckboxSampleSectionExpressive,
r0130,pilot-0284,touch_target_size,GetStream__whatsApp-clone-compose,GetStream__whatsApp-clone-compose/features/chats/src/main/kotlin/io/getstream/whatsappclone/chats/messages/WhatsAppMessageTopBar.kt,WhatsAppMessageTopBar,55.0
r0131,pilot-0138,missing_interaction_semantics,OMGSoundboard__android-app,OMGSoundboard__android-app/app/src/main/java/audio/omgsoundboard/presentation/composables/AboutItem.kt,AboutItem,20.0
r0132,pilot-0113,missing_heading_semantics,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/dailyfocus/DailyFocusScreen.kt,DailyFocusScreen,144.0
r0133,pilot-0169,missing_semantics_role,Waboodoo__HTTP-Shortcuts,Waboodoo__HTTP-Shortcuts/HTTPShortcuts/app/src/main/kotlin/ch/rmy/android/http_shortcuts/activities/documentation/DocumentationScreen.kt,SearchBar,200.0
r0134,pilot-0118,missing_heading_semantics,corphish__TextTools,corphish__TextTools/app/src/main/java/com/corphish/quicktools/activities/MainActivity.kt,AppHeader,205.0
r0135,pilot-0278,textfield_no_label,Waboodoo__HTTP-Shortcuts,Waboodoo__HTTP-Shortcuts/HTTPShortcuts/app/src/main/kotlin/ch/rmy/android/http_shortcuts/activities/documentation/DocumentationScreen.kt,SearchBar,165.0
